train_dataset,test_dataset,model,classes,seed,accuracy,macro_f1,n_samples,checkpoint_path
riceleafbd,dhan_shomadhan,mobilenetv2_100,brown_spot|tungro,42,0.5098039215686274,0.5098039215686274,51,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth
dhan_shomadhan,riceleafbd,mobilenetv2_100,brown_spot|tungro,42,0.5263157894736842,0.525886946189102,133,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth
riceleafbd,brri_rice_disease_pest,mobilenetv2_100,healthy|tungro,42,0.3464566929133858,0.3330591584941474,127,results/checkpoints/mobilenetv2_100__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,healthy|tungro,42,0.5726495726495726,0.5726183518410286,117,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,rice_blast|scald|tungro,42,0.4754901960784313,0.2955461087494095,204,results/checkpoints/mobilenetv2_100__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,rice_blast|scald|tungro,42,0.4174757281553398,0.4090909090909091,103,results/checkpoints/mobilenetv2_100__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed42.pth
riceleafbd,dhan_shomadhan,efficientnet_b0,brown_spot|tungro,42,0.4117647058823529,0.3830645161290322,51,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth
dhan_shomadhan,riceleafbd,efficientnet_b0,brown_spot|tungro,42,0.5939849624060151,0.5239925768822906,133,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth
riceleafbd,brri_rice_disease_pest,efficientnet_b0,healthy|tungro,42,0.3937007874015748,0.3749440715883669,127,results/checkpoints/efficientnet_b0__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth
brri_rice_disease_pest,riceleafbd,efficientnet_b0,healthy|tungro,42,0.4444444444444444,0.4240817872018175,117,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,rice_blast|scald|tungro,42,0.3627450980392157,0.3599776567518503,204,results/checkpoints/efficientnet_b0__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,rice_blast|scald|tungro,42,0.4077669902912621,0.2514161220043573,103,results/checkpoints/efficientnet_b0__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed42.pth
riceleafbd,dhan_shomadhan,resnet50,brown_spot|tungro,42,0.4705882352941176,0.4705882352941176,51,results/checkpoints/resnet50__train-riceleafbd__run-to-dhan_shomadhan__classes-brown_spot+tungro__seed42.pth
dhan_shomadhan,riceleafbd,resnet50,brown_spot|tungro,42,0.6015037593984962,0.5956519245109849,133,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-riceleafbd__classes-brown_spot+tungro__seed42.pth
riceleafbd,brri_rice_disease_pest,resnet50,healthy|tungro,42,0.6456692913385826,0.624729135202574,127,results/checkpoints/resnet50__train-riceleafbd__run-to-brri_rice_disease_pest__classes-healthy+tungro__seed42.pth
brri_rice_disease_pest,riceleafbd,resnet50,healthy|tungro,42,0.358974358974359,0.2998484002234102,117,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-riceleafbd__classes-healthy+tungro__seed42.pth
dhan_shomadhan,brri_rice_disease_pest,resnet50,rice_blast|scald|tungro,42,0.5735294117647058,0.3733637927186314,204,results/checkpoints/resnet50__train-dhan_shomadhan__run-to-brri_rice_disease_pest__classes-rice_blast+scald+tungro__seed42.pth
brri_rice_disease_pest,dhan_shomadhan,resnet50,rice_blast|scald|tungro,42,0.5436893203883495,0.5269330896200288,103,results/checkpoints/resnet50__train-brri_rice_disease_pest__run-to-dhan_shomadhan__classes-rice_blast+scald+tungro__seed42.pth
