train_dataset,test_dataset,model,seed,augmentation,in_macro_f1,cross_macro_f1,gap
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,42,strong,0.571612,0.344448,0.227164
dhan_shomadhan,brri_rice_disease_pest,resnet50,2024,strong,0.60693,0.491341,0.115589
dhan_shomadhan,brri_rice_disease_pest,resnet50,2024,default,0.608513,0.393925,0.214588
dhan_shomadhan,brri_rice_disease_pest,resnet50,7,default,0.6114,0.3555,0.2558
dhan_shomadhan,brri_rice_disease_pest,resnet50,42,strong,0.6167,0.5733,0.0434
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,2024,default,0.619227,0.22314,0.396087
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,7,default,0.638205,0.333095,0.30511
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,7,strong,0.643822,0.333501,0.31032
dhan_shomadhan,brri_rice_disease_pest,resnet50,42,default,0.6477,0.4839,0.1638
dhan_shomadhan,brri_rice_disease_pest,resnet50,42,bucket-geo,0.647737,0.483927,0.163811
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,2024,default,0.6543,0.3217,0.3326
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,7,strong,0.6602,0.3569,0.3032
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,2024,strong,0.6639103875788853,0.3663030587515714,0.2976073288273139
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,42,default,0.6687,0.422,0.2466
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,7,default,0.669216,0.259431,0.409785
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,42,strong,0.6696,0.3229,0.3467
dhan_shomadhan,brri_rice_disease_pest,resnet50,7,strong,0.6854,0.4532,0.2322
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,2024,default,0.6936,0.3806,0.313
dhan_shomadhan,brri_rice_disease_pest,mobilenetv2_100,42,default,0.6975,0.2519,0.4455
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,7,default,0.6996,0.3724,0.3272
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,42,default,0.7004,0.2452,0.4552
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,42,strong,0.7094,0.3962,0.3132
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,7,default,0.711534,0.336665,0.374869
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,7,strong,0.7216,0.4373,0.2842
dhan_shomadhan,brri_rice_disease_pest,efficientnet_b0,42,default,0.7366,0.3566,0.38
brri_rice_disease_pest,dhan_shomadhan,mobilenetv2_100,2024,strong,0.7460491889063317,0.3811363674377372,0.3649128214685944
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,2024,default,0.748211,0.360867,0.387345
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,42,strong,0.750642,0.40114,0.349502
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,7,strong,0.7543,0.3431,0.4112
brri_rice_disease_pest,riceleafbd,efficientnet_b0,42,strong,0.758402,0.468696,0.289706
brri_rice_disease_pest,dhan_shomadhan,efficientnet_b0,2024,strong,0.7732,0.4533,0.3199
brri_rice_disease_pest,dhan_shomadhan,resnet50,2024,default,0.780905,0.561498,0.219407
brri_rice_disease_pest,riceleafbd,resnet50,2024,default,0.782906,0.286585,0.496321
brri_rice_disease_pest,riceleafbd,efficientnet_b0,42,default,0.7935,0.3563,0.4372
dhan_shomadhan,riceleafbd,mobilenetv2_100,42,default,0.7944,0.4961,0.2982
dhan_shomadhan,riceleafbd,resnet50,42,bucket-geo,0.797619,0.548234,0.249385
brri_rice_disease_pest,dhan_shomadhan,resnet50,7,default,0.805,0.5178,0.2872
dhan_shomadhan,riceleafbd,mobilenetv2_100,2024,default,0.809148,0.695115,0.114032
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,2024,default,0.815,0.5978,0.2172
brri_rice_disease_pest,riceleafbd,efficientnet_b0,7,strong,0.8174,0.5774,0.24
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,7,strong,0.819909,0.589474,0.230436
brri_rice_disease_pest,riceleafbd,resnet50,42,default,0.8206,0.5327,0.2879
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,7,default,0.823,0.4382,0.3848
brri_rice_disease_pest,dhan_shomadhan,resnet50,2024,strong,0.824406,0.539172,0.285233
brri_rice_disease_pest,dhan_shomadhan,resnet50,7,strong,0.8272,0.5096,0.3176
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,42,strong,0.8277,0.2731,0.5546
brri_rice_disease_pest,riceleafbd,mobilenetv2_100,42,default,0.8309,0.4481,0.3828
brri_rice_disease_pest,riceleafbd,efficientnet_b0,7,default,0.8335,0.443,0.3905
brri_rice_disease_pest,dhan_shomadhan,resnet50,42,bucket-geo,0.833899,0.477226,0.356673
brri_rice_disease_pest,dhan_shomadhan,resnet50,42,default,0.8339,0.4772,0.3567
dhan_shomadhan,riceleafbd,resnet50,42,strong,0.8381,0.6169,0.2212
dhan_shomadhan,riceleafbd,efficientnet_b0,42,strong,0.840125,0.676032,0.164093
dhan_shomadhan,riceleafbd,efficientnet_b0,7,default,0.841615,0.624902,0.216712
brri_rice_disease_pest,dhan_shomadhan,resnet50,42,strong,0.842146,0.456003,0.386143
brri_rice_disease_pest,riceleafbd,resnet50,7,default,0.8508,0.4418,0.409
brri_rice_disease_pest,riceleafbd,resnet50,7,strong,0.8534,0.7659,0.0875
dhan_shomadhan,riceleafbd,mobilenetv2_100,7,default,0.8593,0.4885,0.3708
brri_rice_disease_pest,riceleafbd,resnet50,42,bucket-geo,0.859424,0.873611,-0.014187
brri_rice_disease_pest,riceleafbd,resnet50,42,strong,0.859424,0.715873,0.143551
dhan_shomadhan,riceleafbd,resnet50,7,strong,0.8742,0.524,0.3502
dhan_shomadhan,riceleafbd,efficientnet_b0,42,default,0.8786,0.5593,0.3193
brri_rice_disease_pest,riceleafbd,efficientnet_b0,2024,default,0.8943,0.6546,0.2397
dhan_shomadhan,riceleafbd,resnet50,42,default,0.898,0.6015,0.2965
dhan_shomadhan,riceleafbd,resnet50,2024,default,0.898041,0.599026,0.299015
riceleafbd,dhan_shomadhan,efficientnet_b0,2024,default,0.9065,0.4966,0.4098
riceleafbd,dhan_shomadhan,mobilenetv2_100,42,strong,0.912211,0.571852,0.340359
dhan_shomadhan,riceleafbd,efficientnet_b0,2024,default,0.917742,0.636675,0.281067
